Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via04,1,0,0,VOC,0.106493495,0
via04,1,1,0,VOC,0.106493495,0
via04,1,2,1,VOC,0.106493495,2.95815263888889e-05
via04,1,3,2,VOC,0.106493495,5.91630527777778e-05
via04,1,4,3,VOC,0.106493495,8.87445791666667e-05
via04,1,5,8,VOC,0.106493495,0.000236652211111111
via04,1,6,9,VOC,0.106493495,0.0002662337375
via04,1,7,15,VOC,0.106493495,0.000443722895833333
via04,1,8,14,VOC,0.106493495,0.000414141369444444
via04,1,9,16,VOC,0.106493495,0.000473304422222222
via04,1,10,22,VOC,0.106493495,0.000650793580555555
via04,1,11,12,VOC,0.106493495,0.000354978316666667
via04,1,12,9,VOC,0.106493495,0.0002662337375
via04,1,13,7,VOC,0.106493495,0.000207070684722222
via04,1,14,10,VOC,0.106493495,0.000295815263888889
via04,1,15,12,VOC,0.106493495,0.000354978316666667
via04,1,16,11,VOC,0.106493495,0.000325396790277778
via04,1,17,15,VOC,0.106493495,0.000443722895833333
via04,1,18,18,VOC,0.106493495,0.000532467475
via04,1,19,21,VOC,0.106493495,0.000621212054166667
via04,1,20,4,VOC,0.106493495,0.000118326105555556
via04,1,21,3,VOC,0.106493495,8.87445791666667e-05
via04,1,22,2,VOC,0.106493495,5.91630527777778e-05
via04,1,23,1,VOC,0.106493495,2.95815263888889e-05
