Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via04,1,0,10,VOC,0.2237746,0.000621596111111111
via04,1,1,15,VOC,0.2237746,0.000932394166666667
via04,1,2,5,VOC,0.2237746,0.000310798055555556
via04,1,3,7,VOC,0.2237746,0.000435117277777778
via04,1,4,8,VOC,0.2237746,0.000497276888888889
via04,1,5,11,VOC,0.2237746,0.000683755722222222
via04,1,6,25,VOC,0.2237746,0.00155399027777778
via04,1,7,100,VOC,0.2237746,0.00621596111111111
via04,1,8,143,VOC,0.2237746,0.00888882438888889
via04,1,9,185,VOC,0.2237746,0.0114995280555556
via04,1,10,198,VOC,0.2237746,0.012307603
via04,1,11,162,VOC,0.2237746,0.010069857
via04,1,12,149,VOC,0.2237746,0.00926178205555556
via04,1,13,122,VOC,0.2237746,0.00758347255555556
via04,1,14,96,VOC,0.2237746,0.00596732266666667
via04,1,15,85,VOC,0.2237746,0.00528356694444444
via04,1,16,91,VOC,0.2237746,0.00565652461111111
via04,1,17,156,VOC,0.2237746,0.00969689933333333
via04,1,18,205,VOC,0.2237746,0.0127427202777778
via04,1,19,189,VOC,0.2237746,0.0117481665
via04,1,20,94,VOC,0.2237746,0.00584300344444444
via04,1,21,26,VOC,0.2237746,0.00161614988888889
via04,1,22,18,VOC,0.2237746,0.001118873
via04,1,23,11,VOC,0.2237746,0.000683755722222222
