Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via04,1,0,10,benzene,0.001226509,3.40696944444444e-06,0,0.000106022,0,3.40696944444444e-06
via04,1,1,15,benzene,0.001226509,5.11045416666667e-06,0,0.000106022,0,5.11045416666667e-06
via04,1,2,5,benzene,0.001226509,1.70348472222222e-06,1,0.000106022,2.94505555555556e-08,1.73293527777778e-06
via04,1,3,7,benzene,0.001226509,2.38487861111111e-06,2,0.000106022,5.89011111111111e-08,2.44377972222222e-06
via04,1,4,8,benzene,0.001226509,2.72557555555556e-06,3,0.000106022,8.83516666666667e-08,2.81392722222222e-06
via04,1,5,11,benzene,0.001226509,3.74766638888889e-06,8,0.000106022,2.35604444444444e-07,3.98327083333333e-06
via04,1,6,25,benzene,0.001226509,8.51742361111111e-06,9,0.000106022,2.65055e-07,8.78247861111111e-06
via04,1,7,100,benzene,0.001226509,3.40696944444444e-05,15,0.000106022,4.41758333333333e-07,3.45114527777778e-05
via04,1,8,143,benzene,0.001226509,4.87196630555556e-05,14,0.000106022,4.12307777777778e-07,4.91319708333333e-05
via04,1,9,185,benzene,0.001226509,6.30289347222222e-05,16,0.000106022,4.71208888888889e-07,6.35001436111111e-05
via04,1,10,198,benzene,0.001226509,6.7457995e-05,22,0.000106022,6.47912222222222e-07,6.81059072222222e-05
via04,1,11,162,benzene,0.001226509,5.5192905e-05,12,0.000106022,3.53406666666667e-07,5.55463116666667e-05
via04,1,12,149,benzene,0.001226509,5.07638447222222e-05,9,0.000106022,2.65055e-07,5.10288997222222e-05
via04,1,13,122,benzene,0.001226509,4.15650272222222e-05,7,0.000106022,2.06153888888889e-07,4.17711811111111e-05
via04,1,14,96,benzene,0.001226509,3.27069066666667e-05,10,0.000106022,2.94505555555556e-07,3.30014122222222e-05
via04,1,15,85,benzene,0.001226509,2.89592402777778e-05,12,0.000106022,3.53406666666667e-07,2.93126469444444e-05
via04,1,16,91,benzene,0.001226509,3.10034219444444e-05,11,0.000106022,3.23956111111111e-07,3.13273780555556e-05
via04,1,17,156,benzene,0.001226509,5.31487233333333e-05,15,0.000106022,4.41758333333333e-07,5.35904816666667e-05
via04,1,18,205,benzene,0.001226509,6.98428736111111e-05,18,0.000106022,5.3011e-07,7.03729836111111e-05
via04,1,19,189,benzene,0.001226509,6.43917225e-05,21,0.000106022,6.18461666666667e-07,6.50101841666667e-05
via04,1,20,94,benzene,0.001226509,3.20255127777778e-05,4,0.000106022,1.17802222222222e-07,3.2143315e-05
via04,1,21,26,benzene,0.001226509,8.85812055555556e-06,3,0.000106022,8.83516666666667e-08,8.94647222222222e-06
via04,1,22,18,benzene,0.001226509,6.132545e-06,2,0.000106022,5.89011111111111e-08,6.19144611111111e-06
via04,1,23,11,benzene,0.001226509,3.74766638888889e-06,1,0.000106022,2.94505555555556e-08,3.77711694444444e-06
