Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via04,1,0,10,toluene,0.001819048,5.05291111111111e-06,0,1.5146002e-05,0,5.05291111111111e-06
via04,1,1,15,toluene,0.001819048,7.57936666666667e-06,0,1.5146002e-05,0,7.57936666666667e-06
via04,1,2,5,toluene,0.001819048,2.52645555555556e-06,1,1.5146002e-05,4.20722277777778e-09,2.53066277833333e-06
via04,1,3,7,toluene,0.001819048,3.53703777777778e-06,2,1.5146002e-05,8.41444555555556e-09,3.54545222333333e-06
via04,1,4,8,toluene,0.001819048,4.04232888888889e-06,3,1.5146002e-05,1.26216683333333e-08,4.05495055722222e-06
via04,1,5,11,toluene,0.001819048,5.55820222222222e-06,8,1.5146002e-05,3.36577822222222e-08,5.59186000444444e-06
via04,1,6,25,toluene,0.001819048,1.26322777777778e-05,9,1.5146002e-05,3.7865005e-08,1.26701427827778e-05
via04,1,7,100,toluene,0.001819048,5.05291111111111e-05,15,1.5146002e-05,6.31083416666667e-08,5.05922194527778e-05
via04,1,8,143,toluene,0.001819048,7.22566288888889e-05,14,1.5146002e-05,5.89011188888889e-08,7.23155300077778e-05
via04,1,9,185,toluene,0.001819048,9.34788555555556e-05,16,1.5146002e-05,6.73155644444444e-08,9.354617112e-05
via04,1,10,198,toluene,0.001819048,0.00010004764,22,1.5146002e-05,9.25589011111111e-08,0.000100140198901111
via04,1,11,162,toluene,0.001819048,8.185716e-05,12,1.5146002e-05,5.04866733333333e-08,8.19076466733333e-05
via04,1,12,149,toluene,0.001819048,7.52883755555556e-05,9,1.5146002e-05,3.7865005e-08,7.53262405605556e-05
via04,1,13,122,toluene,0.001819048,6.16455155555556e-05,7,1.5146002e-05,2.94505594444444e-08,6.1674966115e-05
via04,1,14,96,toluene,0.001819048,4.85079466666667e-05,10,1.5146002e-05,4.20722277777778e-08,4.85500188944444e-05
via04,1,15,85,toluene,0.001819048,4.29497444444444e-05,12,1.5146002e-05,5.04866733333333e-08,4.30002311177778e-05
via04,1,16,91,toluene,0.001819048,4.59814911111111e-05,11,1.5146002e-05,4.62794505555556e-08,4.60277705616667e-05
via04,1,17,156,toluene,0.001819048,7.88254133333333e-05,15,1.5146002e-05,6.31083416666667e-08,7.8888521675e-05
via04,1,18,205,toluene,0.001819048,0.000103584677777778,18,1.5146002e-05,7.573001e-08,0.000103660407787778
via04,1,19,189,toluene,0.001819048,9.550002e-05,21,1.5146002e-05,8.83516783333333e-08,9.55883716783333e-05
via04,1,20,94,toluene,0.001819048,4.74973644444444e-05,4,1.5146002e-05,1.68288911111111e-08,4.75141933355556e-05
via04,1,21,26,toluene,0.001819048,1.31375688888889e-05,3,1.5146002e-05,1.26216683333333e-08,1.31501905572222e-05
via04,1,22,18,toluene,0.001819048,9.09524e-06,2,1.5146002e-05,8.41444555555556e-09,9.10365444555555e-06
via04,1,23,11,toluene,0.001819048,5.55820222222222e-06,1,1.5146002e-05,4.20722277777778e-09,5.562409445e-06
